Time,Main Status,Sub Status,Full Status,Status Text,T,Service,FaultMsg,Value0
28/10/2014 08:35,0,0,00:00,Turbine in operation,1,FALSE,FALSE,12.4
31/10/2014 11:55,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,11.6
31/10/2014 11:55,0,2,00:02,Turbine operational,1,FALSE,FALSE,7.9
31/10/2014 11:58,0,1,00:01,Turbine starting,1,FALSE,FALSE,13
31/10/2014 11:59,0,0,00:00,Turbine in operation,1,FALSE,FALSE,15.9
01/11/2014 11:35,62,3,62:03:00,Feeding fault : Load shedding,6,FALSE,FALSE,15.1
01/11/2014 11:35,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,14.7
01/11/2014 11:36,0,2,00:02,Turbine operational,1,FALSE,FALSE,10.2
01/11/2014 11:38,0,1,00:01,Turbine starting,1,FALSE,FALSE,13.4
01/11/2014 11:39,0,0,00:00,Turbine in operation,1,FALSE,FALSE,12.3
01/11/2014 13:05,62,3,62:03:00,Feeding fault : Load shedding,6,FALSE,FALSE,16
01/11/2014 13:05,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,15.6
01/11/2014 13:06,0,2,00:02,Turbine operational,1,FALSE,FALSE,8.5
01/11/2014 13:08,0,1,00:01,Turbine starting,1,FALSE,FALSE,17.8
01/11/2014 13:09,0,5,00:05,Calibration of  load control,1,FALSE,FALSE,12.4
01/11/2014 13:10,0,1,00:01,Turbine starting,1,FALSE,FALSE,19.3
01/11/2014 13:10,0,0,00:00,Turbine in operation,1,FALSE,FALSE,18.7
01/11/2014 14:27,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,17.4
01/11/2014 14:27,0,2,00:02,Turbine operational,1,FALSE,FALSE,10.8
01/11/2014 14:29,0,1,00:01,Turbine starting,1,FALSE,FALSE,12.5
01/11/2014 14:30,0,0,00:00,Turbine in operation,1,FALSE,FALSE,18
01/11/2014 17:32,62,3,62:03:00,Feeding fault : Load shedding,6,FALSE,FALSE,27.5
01/11/2014 17:32,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,27.2
01/11/2014 17:32,0,2,00:02,Turbine operational,1,FALSE,FALSE,27.1
01/11/2014 17:35,0,1,00:01,Turbine starting,1,FALSE,FALSE,28
01/11/2014 17:35,0,5,00:05,Calibration of  load control,1,FALSE,FALSE,27.1
01/11/2014 17:35,0,1,00:01,Turbine starting,1,FALSE,FALSE,21.9
01/11/2014 17:35,0,0,00:00,Turbine in operation,1,FALSE,FALSE,24.6
01/11/2014 17:48,62,3,62:03:00,Feeding fault : Load shedding,6,FALSE,FALSE,17.9
01/11/2014 17:48,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,17.7
01/11/2014 17:48,0,2,00:02,Turbine operational,1,FALSE,FALSE,14.1
01/11/2014 17:50,0,1,00:01,Turbine starting,1,FALSE,FALSE,20.1
01/11/2014 17:51,0,0,00:00,Turbine in operation,1,FALSE,FALSE,19.4
05/11/2014 12:50,21,2,21:02,Cable twisted : Right (2-3 turns),1,FALSE,FALSE,4.9
05/11/2014 13:28,2,1,02:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,4.2
05/11/2014 13:31,0,2,00:02,Turbine operational,1,FALSE,FALSE,0.9
05/11/2014 13:31,0,1,00:01,Turbine starting,1,FALSE,FALSE,1.3
05/11/2014 13:34,0,0,00:00,Turbine in operation,1,FALSE,FALSE,2.7
05/11/2014 19:23,0,5,00:05,Calibration of  load control,1,FALSE,FALSE,8.3
05/11/2014 19:29,0,1,00:01,Turbine starting,1,FALSE,FALSE,8.5
05/11/2014 19:30,0,0,00:00,Turbine in operation,1,FALSE,FALSE,7.6
06/11/2014 04:33,62,3,62:03:00,Feeding fault : Load shedding,6,FALSE,FALSE,11.8
06/11/2014 04:33,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,11.6
06/11/2014 04:33,0,2,00:02,Turbine operational,1,FALSE,FALSE,8.2
06/11/2014 04:36,0,1,00:01,Turbine starting,1,FALSE,FALSE,20.5
06/11/2014 04:37,0,0,00:00,Turbine in operation,1,FALSE,FALSE,14
06/11/2014 04:51,62,3,62:03:00,Feeding fault : Load shedding,6,FALSE,FALSE,12.3
06/11/2014 04:51,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,11.9
06/11/2014 04:52,0,2,00:02,Turbine operational,1,FALSE,FALSE,14.1
06/11/2014 04:54,0,1,00:01,Turbine starting,1,FALSE,FALSE,11.7
06/11/2014 04:55,0,5,00:05,Calibration of  load control,1,FALSE,FALSE,16.3
06/11/2014 04:57,0,1,00:01,Turbine starting,1,FALSE,FALSE,14.2
06/11/2014 04:57,0,0,00:00,Turbine in operation,1,FALSE,FALSE,8.6
08/11/2014 06:29,2,1,02:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,0.3
08/11/2014 06:46,0,2,00:02,Turbine operational,1,FALSE,FALSE,5.4
08/11/2014 06:46,0,1,00:01,Turbine starting,1,FALSE,FALSE,5.1
08/11/2014 06:48,0,0,00:00,Turbine in operation,1,FALSE,FALSE,5.7
10/11/2014 11:34,62,3,62:03:00,Feeding fault : Load shedding,6,FALSE,FALSE,16.2
10/11/2014 11:34,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,15.7
10/11/2014 11:34,0,2,00:02,Turbine operational,1,FALSE,FALSE,12.8
10/11/2014 11:36,0,1,00:01,Turbine starting,1,FALSE,FALSE,15.4
10/11/2014 11:37,0,0,00:00,Turbine in operation,1,FALSE,FALSE,17.8
10/11/2014 12:44,62,3,62:03:00,Feeding fault : Load shedding,6,FALSE,FALSE,13.2
10/11/2014 12:44,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,13.3
