Time,Main Status,Sub Status,Full Status,Status Text,T,Service,FaultMsg,Value0
27/11/2014 14:24,0,1,00:01,Turbine starting,1,FALSE,FALSE,16.3
27/11/2014 14:25,0,0,00:00,Turbine in operation,1,FALSE,FALSE,16.8
28/11/2014 17:24,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,10.8
28/11/2014 17:24,0,2,00:02,Turbine operational,1,FALSE,FALSE,11
28/11/2014 17:27,0,1,00:01,Turbine starting,1,FALSE,FALSE,11.2
28/11/2014 17:27,0,5,00:05,Calibration of  load control,1,FALSE,FALSE,10.1
28/11/2014 17:28,0,1,00:01,Turbine starting,1,FALSE,FALSE,12.9
28/11/2014 17:28,0,0,00:00,Turbine in operation,1,FALSE,FALSE,12.2
29/11/2014 12:03,2,1,02:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.1
29/11/2014 12:28,0,2,00:02,Turbine operational,1,FALSE,FALSE,2.4
29/11/2014 12:28,0,1,00:01,Turbine starting,1,FALSE,FALSE,2.4
29/11/2014 12:32,0,0,00:00,Turbine in operation,1,FALSE,FALSE,1.5
29/11/2014 12:46,2,1,02:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
29/11/2014 13:31,0,2,00:02,Turbine operational,1,FALSE,FALSE,2.4
29/11/2014 13:31,0,1,00:01,Turbine starting,1,FALSE,FALSE,2.5
